title: 『生活大爆炸』1一12季1080，无删减，速度来取整理好了 	 link: http://tieba.baidu.com//p/7252554072 	 name: 我是大哥... 	 time: 3-7 	 replayNum: 155
title: S活大爆炸整理好 	 link: http://tieba.baidu.com//p/7265545529 	 name: 1469053946GS 	 time: 08:09 	 replayNum: 0
title: 被谢耳朵剧透了 	 link: http://tieba.baidu.com//p/7216728322 	 name: 123abcdefg482 	 time: 2-3 	 replayNum: 5
title: 再也不想回到以前欠债的日子了。 	 link: http://tieba.baidu.com//p/7265071836 	 name: 一眼十天 	 time: 3-17 	 replayNum: 21
title: 问一下这里是什么梗，就是第十季里谢尔顿拿到了麻省理工可以显示 	 link: http://tieba.baidu.com//p/7263720022 	 name: 检验少年k 	 time: 3-16 	 replayNum: 2
title: 这手办怎么样 	 link: http://tieba.baidu.com//p/7264808065 	 name: 黄昏一亮 	 time: 3-17 	 replayNum: 1
title: 大爆炸想看的吧友们进来直接拿走哈 	 link: http://tieba.baidu.com//p/7259825592 	 name: 雷霆永生 	 time: 3-13 	 replayNum: 1
title: 莱纳德和佩妮为啥不在一起，，，，，，， 	 link: http://tieba.baidu.com//p/7262228844 	 name: 929东 	 time: 3-15 	 replayNum: 0
title: 第五次重温了生活大爆炸，才想到该剧最不合理的地方 	 link: http://tieba.baidu.com//p/6456912978 	 name: 钢铁雄心O... 	 time: 2020-01 	 replayNum: 23
title: “酒香不怕巷子深、质佳不怕无人找”——荣盛发展！ 	 link: http://tieba.baidu.com//p/7261924728 	 name: 金山毒妈 	 time: 3-15 	 replayNum: 4
title: 原来Hawaii还演过老友记的衍生剧Joey 	 link: http://tieba.baidu.com//p/7239758038 	 name: 萧竹鸣 	 time: 2-25 	 replayNum: 2
title: “服务社会、培育人才、报效国家”，荣盛发展的立业之基！ 	 link: http://tieba.baidu.com//p/7260367560 	 name: 时光悠然 	 time: 3-14 	 replayNum: 9
title: 为什么他们经常在酒吧喝完酒以后还开车 	 link: http://tieba.baidu.com//p/5117670222 	 name: 光大4062 	 time: 2017-05 	 replayNum: 22
title: 看到第四季弃坑了， 	 link: http://tieba.baidu.com//p/7209365366 	 name: 横道世... 	 time: 1-28 	 replayNum: 94
